slug	source	title	pillarSlug	category	date	words	hasInternalLinks	status	redirectTarget	reason
how-to-plan-an-intimate-backyard-engagement-party	mdx	How to Plan an Intimate Backyard Engagement Party	ultimate-guide-austin-engagement-parties	Engagement Parties	2025-12-12	1496	1	KEEP		default
how-to-plan-your-quince-court-s-choreography	mdx	How to Plan Your Quince Court's Choreography	ultimate-guide-austin-quinceaneras	Quinceañeras	2025-12-12	956	1	KEEP		default
how-to-rent-a-donut-boat-for-your-birthday-celebration	mdx	How to Rent a Donut Boat for Your Birthday Celebration	ultimate-guide-austin-birthday-parties	Birthday Parties	2025-12-12	1164	1	KEEP		default
how-to-split-costs-fairly-for-a-bachelorette-weekend-in-austin	mdx	How to Split Costs Fairly for a Bachelorette Weekend in Austin	ultimate-guide-austin-bachelorette-parties	Bachelorette Parties	2025-12-06	885	1	KEEP		default
how-to-throw-a-birthday-bash-on-lake-austin	mdx	How to Throw a Birthday Bash on Lake Austin		Boat Parties	2025-12-31	1189	1	KEEP		default
how-to-transition-from-engagement-to-wedding-planning	mdx	How to Transition from Engagement to Wedding Planning	ultimate-guide-austin-engagement-parties	Engagement Parties	2026-01-17	1141	1	OPTIMIZE		wedding cluster, no triage-keyword match in title
kid-friendly-birthday-venues-in-austin	mdx	Kid-Friendly Birthday Venues in Austin	ultimate-guide-austin-birthday-parties	Birthday Parties	2025-12-12	915	1	KEEP		default
lake-travis-party-boat-checklist	mdx	Essential Checklist for Your Lake Travis Party Boat Day	ultimate-guide-lake-travis-boat-parties	Boat Parties	2025-12-10	997	1	KEEP		default
local-austin-florists-and-caterers-for-texas-style-weddings	mdx	Local Austin Florists and Caterers for Texas-Style Weddings		Weddings	2025-12-19	1031	1	REDIRECT	/blog/austin-florists-caterers-texas-weddings	near-dupe of austin-florists-caterers-texas-weddings
longhorn-themed-cocktail-and-mocktail-recipes	mdx	Longhorn-Themed Cocktail and Mocktail Recipes	ultimate-guide-ut-tailgating-austin	Tailgating	2025-12-12	1031	1	KEEP		default
music-and-entertainment-options-for-engagement-celebrations	mdx	Music and Entertainment Options for Engagement Celebrations	ultimate-guide-austin-engagement-parties	Engagement Parties	2026-01-16	1168	1	KEEP		default
outdoor-birthday-ideas-for-austin-s-parks-and-lakes	mdx	Outdoor Birthday Ideas for Austin's Parks and Lakes	ultimate-guide-austin-birthday-parties	Birthday Parties	2025-12-12	880	1	KEEP		default
pink-and-blue-snack-and-drink-ideas-for-your-reveal-party	mdx	Pink and Blue Snack and Drink Ideas for Your Reveal Party	ultimate-guide-austin-gender-reveals	Gender Reveals	2025-12-12	1139	1	KEEP		default
plan-hill-country-wedding-six-months	mdx	How to Plan a Hill Country Wedding in Under Six Months	ultimate-guide-austin-weddings	Weddings	2025-12-10	781	1	OPTIMIZE		wedding cluster, no triage-keyword match in title
professional-bar-service-and-responsible-drinking-for-events	mdx	Professional Bar Service and Responsible Drinking for Events	ultimate-guide-austin-corporate-events	Corporate Events	2025-11-06	575	1	KEEP		default
quincea-era-checklist-for-austin-families	mdx	Quinceañera Checklist for Austin Families	ultimate-guide-austin-quinceaneras	Quinceañeras	2025-12-12	905	1	KEEP		default
quincea-era-dress-shopping-guide-for-austin-boutiques	mdx	Quinceañera Dress Shopping Guide for Austin Boutiques	ultimate-guide-austin-quinceaneras	Quinceañeras	2025-12-12	1105	1	KEEP		default
rehearsal-dinner-austin-restaurants	mdx	How to Plan a Rehearsal Dinner at Austin Restaurants	ultimate-guide-austin-weddings	Weddings	2025-12-10	825	1	OPTIMIZE		wedding cluster, no triage-keyword match in title
rustic-bbq-engagement-party-d-cor-ideas	mdx	Rustic BBQ Engagement Party Décor Ideas	ultimate-guide-austin-engagement-parties	Engagement Parties	2025-12-12	1105	1	KEEP		default
rustic-modern-wedding-decor-texas	mdx	How to Blend Rustic and Modern Wedding Decor in Texas	ultimate-guide-austin-weddings	Weddings	2025-12-10	954	1	OPTIMIZE		wedding cluster, no triage-keyword match in title
signature-wedding-cocktails-perfect-for-texas-heat	mdx	Signature Wedding Cocktails Perfect for Texas Heat	ultimate-guide-austin-weddings	Weddings	2026-01-18	1194	1	REDIRECT	/blog/signature-wedding-cocktails-texas-heat	near-dupe of signature-wedding-cocktails-texas-heat
signature-wedding-cocktails-texas-heat	mdx	Signature Wedding Cocktails Perfect for Texas Heat	ultimate-guide-austin-weddings	Weddings	2025-12-10	904	1	OPTIMIZE		wedding cluster, no triage-keyword match in title
spa-and-wellness-retreat-ideas-for-a-relaxing-bachelorette	mdx	Spa and Wellness Retreat Ideas for a Relaxing Bachelorette	ultimate-guide-austin-bachelorette-parties	Bachelorette Parties	2025-12-09	974	1	KEEP		default
stress-free-wedding-vendor-checklist	mdx	How to Build a Stress-Free Wedding Vendor Checklist	ultimate-guide-austin-weddings	Weddings	2025-12-10	871	1	OPTIMIZE		wedding cluster, no triage-keyword match in title
tailgate-playlist-ideas-to-hype-your-crowd	mdx	Tailgate Playlist Ideas to Hype Your Crowd	ultimate-guide-ut-tailgating-austin	Tailgating	2025-12-12	1009	1	KEEP		default
the-ultimate-guide-to-austin-s-instagram-worthy-photo-ops	mdx	The Ultimate Guide to Austin's Instagram-Worthy Photo Ops	ultimate-guide-austin-bachelorette-parties	Bachelorette Parties	2025-12-10	872	1	KEEP		default
themed-birthday-d-cor-ideas-inspired-by-austin-culture	mdx	Themed Birthday Décor Ideas Inspired by Austin Culture	ultimate-guide-austin-birthday-parties	Birthday Parties	2025-12-12	895	1	KEEP		default
timeline-for-stress-free-quince-planning	mdx	Timeline for Stress-Free Quince Planning	ultimate-guide-austin-quinceaneras	Quinceañeras	2026-01-13	837	1	KEEP		default
tips-for-filming-your-reveal-moment	mdx	Tips for Filming Your Reveal Moment	ultimate-guide-austin-gender-reveals	Gender Reveals	2026-01-14	996	1	KEEP		default
top-10-gender-reveal-themes-for-austin-families	mdx	Top 10 Gender Reveal Themes for Austin Families	ultimate-guide-austin-gender-reveals	Gender Reveals	2025-12-12	1016	1	KEEP		default
top-birthday-brunch-spots-with-private-rooms	mdx	Top Birthday Brunch Spots with Private Rooms	ultimate-guide-austin-birthday-parties	Birthday Parties	2025-12-12	1180	1	KEEP		default
top-brunch-spots-for-an-austin-bachelorette-crew	mdx	Top Brunch Spots for an Austin Bachelorette Crew	ultimate-guide-austin-bachelorette-parties	Bachelorette Parties	2025-12-08	999	1	KEEP		default
top-corporate-catering-options-for-austin-business-events	mdx	Top Corporate Catering Options for Austin Business Events	ultimate-guide-austin-corporate-events	Corporate Events	2025-11-06	621	1	KEEP		default
top-party-boat-rentals-for-austin-bachelor-weekends	mdx	Top Party Boat Rentals for Austin Bachelor Weekends	ultimate-guide-austin-bachelor-parties	Bachelor Parties	2025-11-06	687	1	KEEP		default
top-safety-tips-for-renting-a-party-boat	mdx	Top Safety Tips for Renting a Party Boat		Boat Parties	2025-12-30	1262	1	KEEP		default
ultimate-guide-austin-bachelor-parties	mdx	The Ultimate Guide to Austin Bachelor Parties: Planning the Perfect Send-Off	ultimate-guide-austin-bachelor-parties	Bachelor Parties	2025-12-03	891	1	KEEP		default
ultimate-guide-austin-bachelorette-parties	mdx	The Ultimate Guide to Austin Bachelorette Parties: Planning an Unforgettable Celebration	ultimate-guide-austin-bachelorette-parties	Bachelorette Parties	2025-12-03	943	1	KEEP		default
ultimate-guide-austin-birthday-parties	mdx	The Ultimate Guide to Birthday Parties in Austin	ultimate-guide-austin-birthday-parties	Birthday Parties	2025-12-10	1047	1	KEEP		default
ultimate-guide-austin-boat-parties-lake-travis	mdx	Ultimate Guide to Austin Boat Parties on Lake Travis	ultimate-guide-lake-travis-boat-parties	Boat Parties	2025-12-10	1136	1	REDIRECT	/blog/ultimate-guide-lake-travis-boat-parties	near-dupe of ultimate-guide-lake-travis-boat-parties
ultimate-guide-austin-corporate-events	mdx	The Ultimate Guide to Austin Corporate Events: Planning, Venues, and Bar Service	ultimate-guide-austin-corporate-events	Corporate Events	2025-12-03	1040	1	KEEP		default
ultimate-guide-austin-engagement-parties	mdx	The Ultimate Guide to Engagement Parties in Austin	ultimate-guide-austin-engagement-parties	Engagement Parties	2025-12-10	1358	1	KEEP		default
ultimate-guide-austin-gender-reveals	mdx	The Ultimate Guide to Gender Reveals in Austin	ultimate-guide-austin-gender-reveals	Gender Reveals	2025-12-10	1248	1	KEEP		default
ultimate-guide-austin-quinceaneras	mdx	The Ultimate Guide to Austin Quinceaneras	ultimate-guide-austin-quinceaneras	Quinceaneras	2025-12-10	1055	1	KEEP		default
ultimate-guide-austin-wedding-bar-service	mdx	The Ultimate Guide to Austin Wedding Bar Service: Planning Your Reception	ultimate-guide-austin-weddings	Weddings	2025-12-03	867	1	OPTIMIZE		wedding cluster, no triage-keyword match in title
ultimate-guide-austin-weddings	mdx	The Ultimate Guide to Planning Your Austin Wedding	ultimate-guide-austin-weddings	Weddings	2025-12-11	1698	1	OPTIMIZE		wedding cluster, no triage-keyword match in title
ultimate-guide-lake-travis-boat-parties	mdx	The Ultimate Guide to Lake Travis Boat Parties: Everything You Need to Know	ultimate-guide-lake-travis-boat-parties	Boat Parties	2025-12-03	887	1	KEEP		default
ultimate-guide-to-austin-boat-parties-on-lake-travis	mdx	Ultimate Guide to Austin Boat Parties on Lake Travis	ultimate-guide-lake-travis-boat-parties	Boat Parties	2026-01-19	1075	1	REDIRECT	/blog/ultimate-guide-lake-travis-boat-parties	near-dupe of ultimate-guide-lake-travis-boat-parties
ultimate-guide-ut-tailgating-austin	mdx	The Ultimate Guide to UT Football Tailgating in Austin	ultimate-guide-ut-tailgating-austin	Tailgating	2025-12-10	972	1	KEEP		default
unique-airbnbs-for-large-bachelorette-groups-in-austin	mdx	Unique Airbnbs for Large Bachelorette Groups in Austin		Bachelorette Parties	2025-12-12	1365	1	KEEP		default
unique-bachelor-party-ideas-beyond-the-bar-scene	mdx	Unique Bachelor Party Ideas Beyond the Bar Scene	ultimate-guide-austin-bachelor-parties	Bachelor Parties	2025-11-17	642	1	KEEP		default
wedding-photography-austin-lakes-hills	mdx	Wedding Photography Locations Around Austin's Lakes and Hills	ultimate-guide-austin-weddings	Weddings	2025-12-10	835	1	OPTIMIZE		wedding cluster, no triage-keyword match in title
wedding-photography-locations-around-austin-s-lakes-and-hills	mdx	Wedding Photography Locations Around Austin's Lakes and Hills		Weddings	2025-12-23	586	1	REDIRECT	/blog/wedding-photography-austin-lakes-hills	near-dupe of wedding-photography-austin-lakes-hills
what-to-pack-for-a-bachelor-weekend-on-lake-travis	mdx	What to Pack for a Bachelor Weekend on Lake Travis	ultimate-guide-austin-bachelor-parties	Bachelor Parties	2025-12-03	1085	1	KEEP		default
what-to-pack-for-a-perfect-austin-tailgate-setup	mdx	What to Pack for a Perfect Austin Tailgate Setup	ultimate-guide-ut-tailgating-austin	Tailgating	2025-12-12	944	1	KEEP		default
what-to-wear-and-pack-for-an-austin-boat-party	mdx	What to Wear and Pack for an Austin Boat Party		Boat Parties	2026-01-02	1068	1	KEEP		default
where-to-find-custom-birthday-cakes-in-austin	mdx	Where to Find Custom Birthday Cakes in Austin	ultimate-guide-austin-birthday-parties	Birthday Parties	2026-01-10	686	1	KEEP		default
where-to-find-custom-party-favors-and-d-cor-in-austin	mdx	Where to Find Custom Party Favors and Décor in Austin		Bachelorette Parties	2025-12-14	968	1	KEEP		default
where-to-tailgate-for-ut-football-games-in-austin	mdx	Where to Tailgate for UT Football Games in Austin		Tailgating	2026-01-05	1008	1	KEEP		default
wine-tasting-and-vineyard-party-ideas-near-austin	mdx	Wine Tasting and Vineyard Party Ideas Near Austin	ultimate-guide-austin-engagement-parties	Engagement Parties	2025-12-12	1043	1	KEEP		default
corporate-team-building-on-austin-party-houses-alcohol-coordination-for-professional-events	json	Corporate Team Building on Austin party houses: Alcohol Coordination for Professional Events		Austin;Event Planning;Party On Delivery	2025-08-12T09:19:25Z	1929	0	KEEP		default
bachelorette-party-alcohol-emergency-kit-last-minute-delivery-solutions	json	Bachelorette Party Alcohol Emergency Kit: Last-Minute Delivery Solutions		Austin;Event Planning;Party On Delivery	2025-08-12T09:19:24Z	1387	0	KEEP		default
budget-friendly-bachelorette-party-alcohol-maximum-fun-without-breaking-the-bank	json	Budget-Friendly Bachelorette Party Alcohol: Maximum Fun Without Breaking the Bank		Austin;Event Planning;Party On Delivery	2025-08-12T09:19:23Z	1219	0	KEEP		default
instagram-worthy-bachelorette-party-cocktails-recipes-and-delivery-coordination	json	Instagram-Worthy Bachelorette Party Cocktails: Recipes and Delivery Coordination		Austin;Event Planning;Party On Delivery	2025-08-12T09:19:22Z	1008	0	KEEP		default
why-choose-integrated-event-services-comparing-austin-party-planning-options	json	Why Choose Integrated Event Services: Comparing Austin Party Planning Options		Austin;Event Planning;Party On Delivery	2025-08-12T09:19:21Z	2193	0	KEEP		default
integrated-austin-event-services-combining-alcohol-delivery-and-alcohol-delivery-for-perfect-celebrations	json	Integrated Austin Event Services: Combining Alcohol Delivery and alcohol delivery for Perfect Celebrations		Austin;Event Planning;Party On Delivery	2025-08-12T09:19:20Z	1714	0	KEEP		default
holiday-celebrations-on-austin-party-houses-seasonal-boat-party-planning-and-coordination	json	Holiday Celebrations on Austin party houses: Seasonal Boat Party Planning and Coordination		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:52Z	1779	0	KEEP		default
austin-party-houses-boat-party-music-sound-systems-and-entertainment-coordination	json	Austin party houses Boat Party Music: Sound Systems and Entertainment Coordination		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:50Z	1464	0	KEEP		default
